gamma,delta_left,delta_right,Z_prime,abs_Z_prime,inv_abs_Z_prime,delta_min,delta_geom,delta_prod,log_delta_sum
52151.989411667,0.4081619559947285,0.4490715070060105,3.334138646028811,3.334138646028811,0.2999275393634482,0.4081619559947285,0.4281283740667905,0.18329390468107368,-1.6966643779295665
52273.106538528,1.0858006310008932,0.7437900410004659,12.05450851462626,12.05450851462626,0.08295651363858232,0.7437900410004659,0.8986699593568743,0.8076076958504861,-0.21367886330395697
52681.472251834,0.29664856199815404,0.8463165200009826,-2.986747468054861,2.986747468054861,0.334812370545427,0.29664856199815404,0.5010574604310103,0.25105857865357345,-1.3820689859895492
52801.061150869,0.6126173259981442,1.0378337080037454,-15.480325037184663,15.480325037184663,0.06459812682213974,0.6126173259981442,0.797367488068076,0.6357949110279933,-0.452879234582775
53924.744547674,0.8133570090067224,0.33608866299618967,-6.287038456161353,6.287038456161353,0.15905740150515402,0.33608866299618967,0.5228384738096931,0.27336006969564913,-1.2969654162159252
54403.414890599,0.6783199420024175,0.2729937650001375,-2.238605791313779,2.238605791313779,0.4467066081398486,0.2729937650001375,0.4303221059182469,0.18517711484191487,-1.6864425343735179
54928.445460096,0.6270601940050256,0.6610659989964915,-6.369824598645619,6.369824598645619,0.15699019408048137,0.6270601940050256,0.6438386238653798,0.414528173580866,-0.8806143366783683
54951.455401627,0.44255084299948066,0.3641842090000864,5.173509428403126,5.173509428403126,0.19329238959339512,0.3641842090000864,0.40145987184286214,0.1611700287000873,-1.8252953923741422
55797.492964803,0.909601207000378,0.3488368079997599,-3.579841575290891,3.579841575290891,0.27934197057833265,0.3488368079997599,0.563295998212965,0.31730238160274077,-1.1479000745820738
57906.99378901,0.7949451169988606,0.9378446280024946,20.299044188961908,20.299044188961908,0.04926340327608991,0.7949451169988606,0.8634436910037596,0.745535007534196,-0.29365318741681856
59268.736377291,0.5850671180014615,0.5708870149974246,-5.948429202197474,5.948429202197474,0.1681116082932582,0.5708870149974246,0.5779335779905856,0.3340072205690003,-1.0965926677690516
59912.682541403,0.3716603830034728,0.8371048639965011,4.0484437812040674,4.0484437812040674,0.24700849364458388,0.3716603830034728,0.5577801667028056,0.3111187143670096,-1.167580721416873
60326.57540466,1.142470645994763,0.48116621000372106,-16.470784869422847,16.470784869422847,0.060713560885398234,0.48116621000372106,0.7414298825740725,0.549718270773803,-0.5983493669494858
60338.039543618,0.6442445349966874,0.5596712950064102,6.452227300053715,6.452227300053715,0.15498524052177687,0.5596712950064102,0.6004707929636534,0.3605651732023986,-1.0200825530146342
60642.628619699,0.4692442099985783,0.9440102010048577,-11.414024568612254,11.414024568612254,0.0876115163401635,0.4692442099985783,0.6655609070559384,0.4429713210011235,-0.8142502491790536
60789.97058098,0.2863519099992118,1.061292840000533,6.373041275853523,6.373041275853523,0.15691095612213385,0.2863519099992118,0.5512741893129411,0.3039032318026405,-1.1910459446880293
61689.630088754,0.6621737480018055,0.6959338910019142,-5.154076739679091,5.154076739679091,0.19402117013536416,0.6621737480018055,0.6788439827870743,0.4608291529662175,-0.7747279056159486
63149.373332901,1.121247784998559,0.27179863899800694,-2.3215820260432087,2.3215820260432087,0.4307407572862507,0.27179863899800694,0.5520449455815516,0.30475362194213823,-1.1882516257294844
