h_type,epsilon,k,gamma_0,status,delta_Im,delta_pred_Im,delta_Im_error,Z_prime,inv_abs_Z_prime,h0,C_where,C_where_pred,spacing_prev,spacing_next,local_spacing,residual_abs
h=cos(t/T),1e-05,4907,592501.32247796,ok,4.996778443455696e-06,4.99630717386291e-06,4.712695927859507e-10,-1.7337228210517421,0.5767934688622037,0.866221176831066,0.49967784434556956,0.49963071738629095,239.32462603098247,79.8491851920262,79.8491851920262,7.268220545938064e-26
h=cos(t/T),1e-05,4908,592581.171663152,ok,1.3457611203193665e-06,1.3459532966487052e-06,1.92176329338701e-10,-6.4354829058616225,0.15538849448099246,0.8661859432670839,0.13457611203193665,0.1345953296648705,79.8491851920262,61.874696314916946,61.874696314916946,2.2614987183029603e-26
h=cos(t/T),1e-05,4909,592643.046359467,ok,1.291395165026188e-06,1.2918943016395565e-06,4.991366133686124e-10,-6.704562725530946,0.14915215815522231,0.8661586380098402,0.1291395165026188,0.12918943016395565,61.874696314916946,48.9746419590665,48.9746419590665,3.006945874052104e-25
h=cos(t/T),1e-05,4910,592692.021001426,ok,9.620562195777893e-07,9.616803725950531e-07,3.758469827361752e-10,-9.006495800328924,0.11103097388481314,0.8661370237036101,0.09620562195777892,0.09616803725950532,48.9746419590665,119.75218823191244,48.9746419590665,2.059350193360608e-25
h=cos(t/T),1e-05,4911,592811.773189658,ok,-1.3344688341021538e-06,-1.334755215392598e-06,2.8638129044427473e-10,6.4887116068818305,0.15411379956221433,0.8660841658464008,-0.13344688341021538,-0.1334755215392598,119.75218823191244,2.581031224108301,2.581031224108301,1.91005003529193e-25
h=cos(t/T),1e-05,4912,592814.354220882,ok,-4.5320484787225723e-07,-4.5105820680610857e-07,2.1466410661486615e-09,19.20113664756448,0.052080250162004994,0.8660830264889487,-0.045320484787225716,-0.04510582068061085,2.581031224108301,89.19540201989003,2.581031224108301,8.132067666011662e-25
h=cos(t/T),1e-05,4913,592903.549622902,ok,3.0349474400281906e-07,3.0393767260900587e-07,4.4292860618680786e-10,-28.494119939810194,0.03509496001674587,0.8660436497547775,0.030349474400281903,0.03039376726090058,89.19540201989003,158.71411128807813,89.19540201989003,8.40470116711845e-25
h=cos(t/T),1e-05,4914,593062.26373419,ok,-9.352806955575943e-07,-9.35540437824104e-07,2.5974226650969957e-10,9.256399131234216,0.10803337084133098,0.8659735695909514,-0.09352806955575942,-0.09355404378241039,158.71411128807813,368.8288618560182,158.71411128807813,4.0801140248309725e-25
h=cos(t/T),1e-05,4915,593431.092596046,ok,-3.1152740120887756e-07,-3.11221868231483e-07,3.055329773945729e-10,27.819723998064145,0.03594571966528445,0.8658106476361743,-0.031152740120887753,-0.031122186823148296,368.8288618560182,74.24352727795485,74.24352727795485,1.516615325777565e-25
h=cos(t/T),1e-05,4916,593505.336123324,ok,1.4425022527575493e-06,1.4421833550822602e-06,3.188976752890379e-10,-6.003243887482477,0.1665766073714124,0.8657778411026549,0.14425022527575493,0.14421833550822602,74.24352727795485,99.57063710305374,74.24352727795485,1.7848568557714115e-25
h=cos(t/T),1e-05,4917,593604.906760427,ok,7.067574188113213e-07,7.07269912570468e-07,5.124937591467541e-10,-12.240501424759602,0.08169599964076958,0.8657338372508412,0.07067574188113213,0.07072699125704679,99.57063710305374,40.79267060291022,40.79267060291022,1.8448306194995262e-25
h=cos(t/T),1e-05,4918,593645.69943103,ok,-2.9761577025055885e-06,-2.9743648476000868e-06,1.7928549055017734e-09,2.910590502257542,0.3435728932752202,0.8657158075673512,-0.29761577025055885,-0.29743648476000867,40.79267060291022,33.096578457043506,33.096578457043506,8.088473277642056e-26
h=cos(t/T),1e-05,4919,593678.796009487,ok,-1.1568190529942513e-06,-1.156872521430868e-06,5.346843661666948e-11,7.483116441669111,0.13363416269077188,0.8657011786034529,-0.11568190529942511,-0.1156872521430868,33.096578457043506,352.8481364110485,33.096578457043506,1.5749564189879944e-25
