k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
115,2778.2896953,0.4999999997299366,2778.289684984345,-2.7006341607460627e-10,-1.0315654890291626e-05,-3.243436958775655e-05,-1.2389007297420733
116,2781.656070228,0.49998671184736726,2781.656112573385,-1.3288152632739969e-05,4.234538528180565e-05,-1.5958949934549618,5.085642092991264
117,2793.301469241,0.4999955158853002,2793.301478049462,-4.484114699776498e-06,8.80846164363902e-06,-0.5385380795385653,1.0578881975278
118,2798.798140177,0.49999918460427545,2798.798139848582,-8.153957245515819e-07,-3.284176273155026e-07,-0.09792828171541933,-0.039442657055565176
119,2817.458907317,0.4999820390111177,2817.458904406847,-1.7960988882292916e-05,-2.910152943513822e-06,-2.1570983587386077,-0.3495067103081801
120,2870.909506375,0.5000048936734315,2870.9095073337244,4.893673431483059e-06,9.587242857378442e-07,0.5877257091151448,0.11514191099393058
121,2886.30887464,0.4999935894789134,2886.308863983034,-6.410521086575027e-06,-1.0656965969246812e-05,-0.769897726964403,-1.2798918785623572
122,2919.321772327,0.49999473919297405,2919.3217699084694,-5.260807025952996e-06,-2.418530584691325e-06,-0.631818118461807,-0.29046331407398407
123,2925.261509119,0.49999536135663963,2925.2615146432518,-4.638643360366235e-06,5.524251719180029e-06,-0.5570968305249777,0.66345758548128
124,2995.540266916,0.5000042900139633,2995.5402599462327,4.290013963292871e-06,-6.969767127884552e-06,0.5152267583834388,-0.8370626656960968
125,3004.290975917,0.4999924729979066,3004.2910054318213,-7.527002093388191e-06,2.951482110802317e-05,-0.9039860760604718,3.5447030554841414
126,3023.930996074,0.4999997640421355,3023.930979745279,-2.35957864525016e-07,-1.6328721358149778e-05,-0.02833832399953033,-1.9610645200437526
127,3040.500427565,0.4999959368672353,3040.500417642812,-4.063132764686728e-06,-9.922187928168569e-06,-0.4879785336699072,-1.1916457069938402
128,3098.758089848,0.5000142638524177,3098.7580815204337,1.4263852417650824e-05,-8.327566320076585e-06,1.7130756463937178,-1.00013310842999
129,3131.861090216,0.4999958626759821,3131.861091507426,-4.137324017883248e-06,1.2914260878460482e-06,-0.4968888354106287,0.1550990935288248
130,3134.635445901,0.5000075533893484,3134.6354465058744,7.553389348435857e-06,6.048744580766652e-07,0.9071551612889055,0.0726448699072693
131,3167.121094757,0.5000037727530726,3167.1210896306575,3.772753072617263e-06,-5.126342330186162e-06,0.4531041978925721,-0.6156690313236886
132,3169.179764608,0.500003131172306,3169.179766571322,3.131172305992358e-06,1.963322119991062e-06,0.37605093385713645,0.2357931932624898
133,3174.815385976,0.5000118220454349,3174.8153891159504,1.1822045434928263e-05,3.1399504223372787e-06,1.419816858177437,0.3771051776120064
134,3261.535312602,0.49997931874897933,3261.53531849771,-2.0681251020671088e-05,5.895709819014883e-06,-2.4837993568010948,0.7080693639721553
135,3265.198771598,0.5000052600110855,3265.198772438313,5.260011085472804e-06,8.403130777878687e-07,0.6317225267371682,0.1009208330789522
136,3320.476699682,0.49998255087927923,3320.476718398311,-1.744912072076943e-05,1.8716310933086788e-05,-2.0956234600930546,2.24781184710855
137,3339.256673695,0.5000027720498001,3339.2566728835413,2.772049800148224e-06,-8.114584488794208e-07,0.3329206489369009,-0.09745541850360066
138,3346.848430817,0.5000201382078824,3346.848438189727,2.0138207882380854e-05,7.372726940957364e-06,2.4185803719218733,0.8854577711723836
139,3386.166295749,0.500005123703642,3386.1662990623054,5.123703642029298e-06,3.3133055694634095e-06,0.6153521272862942,0.39792497243484737
140,3441.467977671,0.5000112494983627,3441.467964646128,1.1249498362730925e-05,-1.3024871805100702e-05,1.3510544777856173,-1.5642752065429004
141,3449.497002716,0.5000323054429258,3449.4970107696204,3.2305442925761874e-05,8.053620149439666e-06,3.879854186769505,0.9672324235659068
142,3467.909471077,0.49999503772886267,3467.909481697048,-4.962271137332053e-06,1.0620047760312445e-05,-0.5959642309287171,1.2754580353913723
143,3475.717792819,0.49998959856551367,3475.7177827370724,-1.040143448632902e-05,-1.0081927484861808e-05,-1.2492027808728963,-1.210830281842518
144,3479.465965313,0.49997994577543164,3479.4659664803216,-2.0054224568355483e-05,1.1673214430629741e-06,-2.4084940526199246,0.1401942390507215
145,3521.365040903,0.5000044596463636,3521.3650322182966,4.45964636364149e-06,-8.684703516337322e-06,0.5355994547187523,-1.0430249594826921
146,3597.802641293,0.5000071384936001,3597.8026456838475,7.138493600122864e-06,4.390847607282922e-06,0.8573265608928603,0.5273367869226249
147,3620.70557045,0.500003819308322,3620.7055757923963,3.819308322050574e-06,5.342396434571128e-06,0.45869544082476205,0.6416169319110004
148,3621.886132366,0.5000002013528952,3621.886152308088,2.0135289524603195e-07,1.9942088329116814e-05,0.024182298798184787,2.3950265927154577
149,3677.893295663,0.5000100991106763,3677.89329580352,1.0099110676287104e-05,1.4051965990802273e-07,1.2128939674371313,0.016876282800716666
150,3679.81831165,0.4999817555255461,3679.8183351186467,-1.824447445392119e-05,2.346864675928373e-05,-2.1911447169482208,2.818563038930201
151,3682.418731434,0.49999369578815334,3682.418744313064,-6.304211846663854e-06,1.287906388824922e-05,-0.7571300843566388,1.546763808913703
152,3683.971024204,0.5000064756107441,3683.9710246502586,6.475610744072213e-06,4.462585820874665e-07,0.7777149353752637,0.05359524808474815
153,3710.371491777,0.49999882160056525,3710.371485708161,-1.1783994347536186e-06,-6.068838956707623e-06,-0.14152469573384813,-0.7288620152684888
154,3753.946989066,0.49997752444781784,3753.9469877607817,-2.2475552182155134e-05,-1.3052181202510837e-06,-2.699293287334941,-0.15675550402267585
155,3754.507321885,0.5000083476303507,3754.507310630624,8.347630350735713e-06,-1.1254375749558676e-05,1.0025427801851547,-1.3516402474885008
156,3764.64428017,0.49999785456652157,3764.6442833678148,-2.145433478428771e-06,3.197814749000827e-06,-0.2576646010657048,0.3840546303895485
